Date,Real,Previsto
2024-11-29,80.9895248413086,61.273400664116295
2024-12-02,81.41510009765625,61.08519455488016
2024-12-03,81.48458099365234,57.433986962329826
2024-12-04,80.12100219726562,57.750183415938295
2024-12-05,80.01677703857422,58.021201469551
2024-12-06,81.06768035888672,58.134119551480765
2024-12-09,81.41510009765625,57.012410302891624
2024-12-10,81.63223266601562,57.90074202176379
2024-12-11,81.90147399902344,58.38254840509559
2024-12-12,82.7699966430664,59.34616466151668
2024-12-13,83.5516586303711,59.248301393242244
2024-12-16,85.114990234375,59.3687503717571
2024-12-17,82.78736877441406,59.49673024685707
2024-12-18,82.49207305908203,58.78907374063594
2024-12-19,82.08386993408203,57.53185721011917
2024-12-20,81.17191314697266,59.16548595910821
2024-12-23,77.41990661621094,57.11027357116606
2024-12-24,77.25489044189453,56.816669807312934
2024-12-25,76.29082489013672,57.47163097598302
2024-12-26,76.79457092285156,57.908276408106346
2024-12-27,77.05513000488281,58.97728333962952
2024-12-30,76.76851654052734,59.014927353282715
2024-12-31,75.3875732421875,60.851817025163186
2025-01-01,75.30940246582031,61.55026406146398
2025-01-02,75.64812469482422,60.362500683790984
2025-01-03,77.2983169555664,61.56610058078893
2025-01-06,77.46334075927734,60.30706937639623
2025-01-07,76.45584869384766,59.90323115409524
2025-01-08,75.87393951416016,59.30142946071754
2025-01-09,75.5178451538086,58.525419075250554
2025-01-10,73.85897064208984,61.874919687140235
2025-01-13,73.85897064208984,60.08535461608956
2025-01-14,74.10215759277344,61.130582340323144
2025-01-15,77.4720230102539,60.30706937639623
2025-01-16,77.2983169555664,59.26183816240518
2025-01-17,77.55886840820312,57.72566089031106
2025-01-20,74.82303619384766,57.35349221690251
2025-01-21,74.11084747314453,56.87046441846189
2025-01-22,74.78829956054688,56.102379272172286
2025-01-23,73.80687713623047,57.92362087163032
2025-01-24,73.56367492675781,56.696262705887506
2025-01-27,73.86766815185547,57.36141396632243
2025-01-28,74.5401382446289,61.35230756990218
2025-01-29,72.29452514648438,61.835331878585336
2025-01-30,72.56080627441406,60.322909385478624
2025-01-31,73.43064880371094,59.3331059891249
2025-02-03,74.03421783447266,60.4020884923459
2025-02-04,73.41289520263672,60.322909385478624
2025-02-05,72.49868774414062,62.072876178702046
2025-02-06,70.63472747802734,61.27312497327745
2025-02-07,69.82701110839844,60.48127457872806
2025-02-10,69.71163940429688,61.72447275355327
2025-02-11,70.44833374023438,60.57629718443519
2025-02-12,71.46018981933594,60.695074569129716
2025-02-13,72.62294006347656,59.8873946347703
2025-02-14,71.2649154663086,60.39417023268342
2025-02-17,71.28266906738281,60.46543805940313
2025-02-18,69.26782989501953,63.323999592704624
2025-02-19,68.2470932006836,64.8760133841237
2025-02-20,68.12283325195312,66.29341327152328
2025-02-21,69.43648529052734,67.21987408033469
2025-02-24,73.10224151611328,65.84998375090994
2025-02-25,71.54006958007812,66.07169502145916
2025-02-26,70.57259368896484,64.86809163470377
2025-02-27,69.95128631591797,64.47216469255035
2025-02-28,69.116943359375,63.43485871773669
2025-03-03,69.71163940429688,61.57401884045139
2025-03-04,67.67903900146484,62.445051831625506
2025-03-05,66.26777648925781,63.26064653588995
2025-03-06,63.87126541137695,62.587580505549994
2025-03-07,62.1315803527832,63.30815260410732
2025-03-10,62.37123107910156,64.97894726997838
2025-03-11,63.69374465942383,63.23690222617489
2025-03-12,64.26181030273438,63.23690222617489
2025-03-13,61.72328567504883,64.50385169023005
2025-03-14,61.243988037109375,62.429211822543095
2025-03-17,59.34453582763672,59.689434653451045
2025-03-18,61.27949523925781,59.43603987497957
2025-03-19,62.104957580566406,61.051396253940965
2025-03-20,62.74402618408203,59.45187988406197
2025-03-21,61.56352615356445,63.490283045616536
2025-03-24,60.36526870727539,63.18938568868515
2025-03-25,60.427398681640625,64.91560817219352
2025-03-26,61.297237396240234,64.2029508435412
2025-03-27,60.036861419677734,65.31152813483202
2025-03-28,62.02505874633789,71.4483154737886
2025-03-31,62.113826751708984,72.24807016897064
2025-04-01,61.43037414550781,71.5591711090632
2025-04-02,60.44514846801758,72.08179020581618
2025-04-03,59.0782585144043,70.28430687510301
2025-04-04,57.73799133300781,69.5637277970308
2025-04-07,57.56046676635742,69.73792253009027
2025-04-08,58.87411117553711,70.36348249221282
2025-04-09,58.43031311035156,70.77523199466138
2025-04-10,57.05453872680664,70.33973818249778
2025-04-11,56.63737106323242,70.65647554851157
2025-04-14,57.83562469482422,73.14286491864706
2025-04-15,60.30313873291016,74.14850134456829
2025-04-16,59.80607986450195,74.52067001797684
2025-04-17,60.0013542175293,75.01160909656502
2025-04-18,60.951080322265625,74.94034824936023
2025-04-21,60.675926208496094,75.93807688489134
2025-04-22,59.57530975341797,73.45958832563105
2025-04-23,60.20549774169922,74.28311524858778
2025-04-24,61.26173400878906,76.54777938914424
2025-04-25,61.74103927612305,74.44939521174223
2025-04-28,61.83867645263672,74.73703498010697
2025-04-29,61.59902572631836,75.31703964842879
2025-04-30,60.01022720336914,75.53951866561782
2025-05-01,59.40666961669922,74.35566032653553
2025-05-02,59.08713150024414,74.10935324545255
2025-05-05,58.4924430847168,74.4112800808328
2025-05-06,58.6167106628418,74.80059742236888
2025-05-07,59.31791305541992,74.4112800808328
2025-05-08,57.44508361816406,74.86415986463079
2025-05-09,58.14628219604492,75.49184159928521
2025-05-12,57.00128555297851,77.14449301615443
2025-05-13,58.78535461425781,76.9855764412273
2025-05-14,58.4924430847168,76.89817895555653
2025-05-15,57.977638244628906,77.3113452995313
2025-05-16,57.56046676635742,77.18420645597766
2025-05-19,58.10190200805664,77.3113452995313
2025-05-20,57.21430587768555,78.50315330609314
2025-05-21,59.096004486083984,79.64729122583728
2025-05-22,59.51317596435547,79.72674602354338
2025-05-23,60.89781951904297,80.63251955016919
